,Accuracy,Balanced Accuracy,Precision,F1,Recall,Confusion matrix
SVM28,0.93,0.92,0.98,0.92,0.86,"[[722  14]
 [ 89 564]]"
SVM29,0.95,0.95,0.97,0.95,0.93,"[[714  22]
 [ 46 607]]"
SVM30,0.95,0.95,0.97,0.95,0.93,"[[714  22]
 [ 46 607]]"
SVM31,0.91,0.91,0.9,0.91,0.91,"[[668  68]
 [ 56 597]]"
SVM32,0.91,0.91,0.9,0.9,0.91,"[[669  67]
 [ 60 593]]"
SVM33,0.87,0.88,0.85,0.87,0.88,"[[427  66]
 [ 50 383]]"
SVM34,0.87,0.87,0.85,0.86,0.87,"[[428  65]
 [ 56 377]]"
SVM35,0.94,0.94,0.94,0.93,0.93,"[[465  28]
 [ 30 403]]"
SVM36,0.94,0.94,0.94,0.93,0.93,"[[466  27]
 [ 32 401]]"
SVM37,0.92,0.92,0.91,0.92,0.93,"[[451  42]
 [ 29 404]]"
SVM38,0.92,0.92,0.91,0.92,0.93,"[[452  41]
 [ 32 401]]"
SVM39,0.62,0.62,0.59,0.59,0.58,"[[322 171]
 [182 251]]"
SVM40,0.62,0.62,0.6,0.58,0.57,"[[327 166]
 [186 247]]"
SVM41,0.88,0.88,0.85,0.87,0.9,"[[632 104]
 [ 66 587]]"
SVM42,0.88,0.88,0.85,0.87,0.89,"[[637  99]
 [ 71 582]]"
SVM43,0.94,0.94,0.93,0.93,0.93,"[[690  46]
 [ 43 610]]"
SVM44,0.94,0.94,0.93,0.93,0.93,"[[691  45]
 [ 43 610]]"
SVM45,0.92,0.92,0.9,0.92,0.94,"[[667  69]
 [ 41 612]]"
SVM46,0.92,0.92,0.9,0.92,0.94,"[[668  68]
 [ 42 611]]"
SVM47,0.62,0.62,0.6,0.6,0.6,"[[473 263]
 [260 393]]"
SVM48,0.63,0.63,0.61,0.6,0.59,"[[485 251]
 [265 388]]"
SVM49,0.93,0.93,0.91,0.92,0.93,"[[455  38]
 [ 30 403]]"
SVM50,0.92,0.92,0.91,0.92,0.93,"[[452  41]
 [ 32 401]]"
SVM51,0.81,0.8,0.91,0.77,0.66,"[[464  29]
 [146 287]]"
SVM52,0.81,0.8,0.91,0.76,0.66,"[[464  29]
 [148 285]]"
SVM53,0.89,0.89,0.9,0.88,0.86,"[[451  42]
 [ 59 374]]"
SVM54,0.89,0.89,0.9,0.88,0.86,"[[454  39]
 [ 62 371]]"
SVM55,0.79,0.79,0.79,0.77,0.75,"[[407  86]
 [109 324]]"
SVM56,0.79,0.78,0.8,0.76,0.73,"[[411  82]
 [115 318]]"
SVM57,0.91,0.91,0.89,0.91,0.93,"[[659  77]
 [ 47 606]]"
SVM58,0.91,0.91,0.89,0.91,0.93,"[[662  74]
 [ 47 606]]"
SVM59,0.82,0.81,0.91,0.78,0.69,"[[690  46]
 [205 448]]"
SVM60,0.82,0.81,0.91,0.78,0.68,"[[691  45]
 [208 445]]"
SVM61,0.89,0.89,0.89,0.88,0.87,"[[669  67]
 [ 84 569]]"
SVM62,0.89,0.89,0.9,0.88,0.87,"[[670  66]
 [ 85 568]]"
SVM63,0.81,0.8,0.81,0.79,0.77,"[[614 122]
 [147 506]]"
SVM64,0.81,0.8,0.81,0.79,0.77,"[[614 122]
 [148 505]]"
